Date,Team,Acquired,Relinquished,Notes
2000-01-03,Bulls,, Fred Hoiberg,placed on IL with strained left quadricep tendon
2000-01-03,Bulls, Randy Brown,,activated from IL
2000-01-03,Warriors, Daron Blaylock / Mookie Blaylock,,activated from IL
2000-01-05,Bulls, Toni Kukoc,,activated from IL
2000-01-05,Cavaliers, Trajan Langdon,,activated from IL
2000-01-05,Grizzlies,, Cherokee Parks,placed on IL with strained right groin
2000-01-05,Grizzlies, Antoine Carr,,activated from IL
2000-01-05,Hornets, Eddie Jones,,activated from IL
2000-01-05,Sonics,, Lazaro Borrell,placed on IL with right knee patella tendinitis
2000-01-05,Sonics, Jelani McCoy,,activated from IL
2000-01-05,Warriors, Erick Dampier,,activated from IL
2000-01-06,Timberwolves, Dean Garrett,,activated from IL
2000-01-07,Cavaliers,, Trajan Langdon,placed on IL with right knee injury (out for season)
2000-01-07,Rockets,, Tony Massenburg,placed on IL with strained groin
2000-01-07,Sonics,, Vernon Maxwell,placed on IL with right knee surgery
2000-01-07,Sonics, Shammond Williams,,activated from IL
2000-01-07,Timberwolves,, Andrae Patterson,placed on IR with rehab from right knee surgery
2000-01-07,Timberwolves, Bobby Jackson,,activated from IL
2000-01-09,76ers,, Jumaine Jones,placed on IL with plantar fasciatis in left foot
2000-01-09,76ers, Theo Ratliff,,activated from IL
2000-01-09,Celtics,, Adrian Griffin,placed on IL with sprained right ankle
2000-01-09,Celtics, Walter McCarty,,activated from IL
2000-01-09,Warriors,, Chris Mills,placed on IL with bone spurs in right ankle
2000-01-09,Warriors,, John Starks,placed on IL with right knee tendinitis
2000-01-10,Bulls,, B.J. Armstrong,placed on IL with strained left knee / loose bodies in left knee
2000-01-10,Nuggets,, Roy Rogers,placed on IL with sprained right knee
2000-01-10,Nuggets, Ronald Jones / Popeye Jones,,activated from IL
2000-01-11,Suns, Corie Blount,,activated from IL
2000-01-11,Timberwolves, Wally Szczerbiak,,activated from IL
2000-01-12,Grizzlies,, Obinna Ekezie,placed on IL with sprained left ankle
2000-01-12,Grizzlies, Doug West,,activated from IL
2000-01-12,Magic,, Monty Williams,placed on IR with bruised lower back
2000-01-12,Magic, Anthony Parker,,activated from IL
2000-01-13,Rockets,, Kelvin Cato,placed on IL with sprained right wrist
2000-01-13,Rockets, Hakeem Olajuwon,,activated from IL
2000-01-16,Cavaliers,, Ryan Stack,placed on IR with dehydration & allergic reaction
2000-01-16,Cavaliers, Danny Ferry,,activated from IL
2000-01-17,Magic, Derek Strong,,activated from IL
2000-01-17,Wizards,, Mitch Richmond,placed on IR with fractured right rib
2000-01-17,Wizards, Laron Profit,,activated from IL
2000-01-19,Bucks, Darvin Ham,,activated from IL
2000-01-19,Wizards,, Gerard King,placed on IR with left elbow tendinitis
2000-01-19,Wizards, Lorenzo Williams,,activated from IL
2000-01-21,Bulls, Hersey Hawkins,,activated from IL
2000-01-21,Heat,, Rodney Buford,placed on IL with bilateral patella tendinitis
2000-01-21,Heat, Tim Hardaway Sr.,,activated from IL
2000-01-21,Nets,, Michael Cage,placed on IL with sprained toe
2000-01-21,Nets, Gheorghe Muresan,,activated from IL
2000-01-22,Magic, Monty Williams,,activated from IL
2000-01-22,Rockets,, Carlos Rogers,placed on IR with torn ligament in right hand
2000-01-22,Rockets, Kelvin Cato,,activated from IL
2000-01-22,Suns,, Mark West (Andre),placed on IL with back spasms
2000-01-22,Suns, Anfernee Hardaway / Penny Hardaway,,activated from IL
2000-01-24,Blazers,, Antonio Harvey,placed on IL with knee injury
2000-01-24,Blazers, Joe Kleine,,activated from IL
2000-01-24,Spurs,, Chucky Brown,placed on IL with strained lower back
2000-01-25,Celtics,, Eric Williams,placed on IL with sore right knee
2000-01-25,Celtics, Adrian Griffin,,activated from IL
2000-01-25,Heat,, Dan Majerle,placed on IR with stress fracture of fibula in left leg
2000-01-25,Heat, Tim James,,activated from IL
2000-01-25,Mavericks,, Gary Trent,placed on IL with strained left groin
2000-01-25,Spurs,, Marcus Brown,placed on IL with strained lower back
2000-01-25,Spurs, Felton Spencer,,activated from IL
2000-01-25,Warriors,, Tim Young,placed on IL with plantar fasciaitis in right foot
2000-01-25,Warriors, Terry Cummings,,activated from IL
2000-01-26,Cavaliers, Ryan Stack,,activated from IL
2000-01-26,Raptors,, Sean Marks,placed on IL with patellar tendinitis in left knee
2000-01-26,Raptors, Dell Curry,,activated from IL
2000-01-28,Hawks,, Dion Glover,placed on IR for left knee rehabilitation
2000-01-28,Hawks, Roshown McLeod,,activated from IL
2000-01-28,Knicks,, Andrew Lang,placed on IR with hamstring injury
2000-01-28,Knicks, Rick Brunson,,activated from IL
2000-01-28,Nuggets,, Ryan Bowen,placed on IL with sprained right ankle
2000-01-28,Nuggets, Roy Rogers,,activated from IL
2000-01-30,Heat,, Tim James,placed on IL with sprained back
2000-01-31,Grizzlies,, Antoine Carr,placed on IL with left quadriceps tendinitis / sprained ankle (Stats)
2000-01-31,Grizzlies, Cherokee Parks,,activated from IL
2000-01-31,Heat, Rodney Buford,,activated from IL
2000-02-01,Clippers, Brian Skinner,,activated from IL
2000-02-01,Magic,, Derek Strong,placed on IL with strained lower back
2000-02-01,Nuggets,, Chris Herren,placed on IR with left knee strain
2000-02-01,Nuggets, Chauncey Billups,,activated from IL
2000-02-01,Nuggets, Johnny Taylor,,activated from IL
2000-02-01,Pacers,, Al Harrington,placed on IL with sprained lower back
2000-02-01,Pacers, Derrick McKey,,activated from IL
2000-02-01,Warriors,, Terry Cummings,placed on IL with strained right rotator cuff
2000-02-01,Warriors, John Starks,,activated from IL
2000-02-02,Wizards,, Michael Smith (John) (Providence),placed on IR with sprained right elbow
2000-02-02,Wizards, Mitch Richmond,,activated from IL
2000-02-04,Spurs, Chucky Brown,,activated from IL
2000-02-07,Bucks, Rafer Alston,,activated from IL
2000-02-07,Cavaliers,, Cedric Henderson (Earl),placed on IR with torn ligaments in left thumb
2000-02-08,Celtics,, Doug Overton,placed on IL with sprained right ankle
2000-02-08,Hornets,, Michael Hawkins,placed on IL with left knee tendinitis
2000-02-08,Suns,, Todd Day,placed on IL with back spasms
2000-02-08,Suns, Shawn Marion,,activated from IL
2000-02-09,Knicks,, Marcus Camby,placed on IR with sprained ACL in right knee
2000-02-09,Knicks, Andrew Lang,,activated from IL
2000-02-09,Knicks, David Wingate,,activated from IL
2000-02-09,Suns,, Oliver Miller,placed on IL with sprained right ankle
2000-02-09,Suns, Mark West (Andre),,activated from IL
2000-02-15,Bulls,, Corey Benjamin,placed on IR with left ankle sprain
2000-02-15,Celtics, Eric Williams,,activated from IL
2000-02-16,Bucks,, Darvin Ham,placed on IL with jumper's knee
2000-02-16,Wizards,, Reggie Jordan,placed on IL with left knee patella tendinitis
2000-02-16,Wizards, Michael Smith (John) (Providence),,activated from IL
2000-02-18,76ers, Jumaine Jones,,activated from IL
2000-02-18,76ers, Kevin Ollie,,activated from IL
2000-02-18,Magic,, Chauncey Billups,placed on IR with lsurgery on eft shoulder (out for season)
2000-02-18,Magic, Derek Strong,,activated from IL
2000-02-19,Knicks,, Charlie Ward,placed on IL with fractured right pinky
2000-02-20,Heat,, Rex Walters,placed on IL with back spasms
2000-02-20,Heat, Dan Majerle,,activated from IL
2000-02-20,Rockets,, Kelvin Cato,placed on IL with sprained left ankle
2000-02-20,Rockets, Carlos Rogers,,activated from IL
2000-02-21,Pacers,, Jeff Foster,placed on IL with strained lower back
2000-02-21,Pacers, Al Harrington,,activated from IL
2000-02-22,Heat,, Rodney Buford,placed on IL with right knee tendinitis
2000-02-23,76ers,, Nazr Mohammed,placed on IL with strained lower back
2000-02-23,Hornets,, Brad Miller,placed on IL with torn meniscus cartilage in left knee
2000-02-23,Hornets, Eldridge Recasner,,activated from IL
2000-02-23,Raptors,, Michael Stewart,placed on IL
2000-02-23,Raptors, Dee Brown (a),,activated from IL
2000-02-23,Wizards,, Michael Smith (John) (Providence),placed on IR with torn MCL in right elbow
2000-02-23,Wizards, Gerard King,,activated from IL
2000-02-23,Heat, Rex Walters,,activated from IL
2000-02-24,Bulls, Fred Hoiberg,,activated from IL
2000-02-24,Heat,, Otis Thorpe,placed on IL with left knee inflammation
2000-02-24,Magic,, Johnny Taylor,placed on IL with strained lower back
2000-02-24,Mavericks,, Bruno Sundov,placed on IL with strained lower back
2000-02-24,Mavericks, Robert Pack,,activated from IL
2000-02-25,Cavaliers,, Brevin Knight,placed on IR with tendinitis in right quadriceps
2000-02-25,Celtics,, Dana Barros,placed on IL with back spasms
2000-02-25,Celtics, Doug Overton,,activated from IL
2000-02-25,Hawks, Dion Glover,,activated from IL
2000-02-25,Heat, Harold Jamison,,activated from IL
2000-02-25,Pistons,, Don Reid,placed on IL with back spasms
2000-02-25,Pistons, Mikki Moore,,activated from IL
2000-02-25,Warriors,, Antawn Jamison,placed on IL with left knee injury
2000-02-25,Warriors,, Antawn Johnson,placed on IL
2000-02-25,Warriors, Tim Young,,activated from IL
2000-02-26,Bucks,, J.R. Reid,placed on IL with plantar fasciatis of the left heel
2000-02-26,Clippers,, Brian Skinner,placed on IL with sprained left ankle
2000-02-26,Clippers,, Eric Murdock,placed on IL with sprained left ankle
2000-02-26,Grizzlies,, Bryant Reeves,placed on IR with bruised bone in right knee
2000-02-26,Grizzlies, Obinna Ekezie,,activated from IL
2000-02-27,Bucks, Darvin Ham,,activated from IL
2000-02-28,Pacers,, Al Harrington,placed on IL with strained left calf
2000-02-28,Wizards,, Lorenzo Williams,placed on IL with fluid in right knee
2000-02-28,Wizards, Reggie Jordan,,activated from IL
2000-02-29,Pacers, Zan Tabak,,activated from IL
2000-03-01,76ers,, Tyrone Hill,placed on IL with strained right Achilles tendon
2000-03-02,Heat,, Voshon Lenard,placed on IR with lower abdominal strain
2000-03-02,Heat, Rodney Buford,,activated from IL
2000-03-02,Rockets,, Matt Bullard,placed on IL with back spasms
2000-03-02,Rockets, Kelvin Cato,,activated from IL
2000-03-03,76ers, Nazr Mohammed,,activated from IL
2000-03-03,Nuggets,, Bryant Stith,placed on IL with bruised right quadriceps
2000-03-03,Nuggets, Ryan Bowen,,activated from IL
2000-03-05,Bulls,, Ron Artest / Metta World Peace,placed on IL with sprained right ankle
2000-03-05,Bulls, Corey Benjamin,,activated from IL
2000-03-06,Blazers,, Joe Kleine,placed on IL with left knee tendinitis
2000-03-06,Blazers, Gary Grant,,activated from IL
2000-03-06,Spurs,, Steve Kerr,placed on IR with synovitis in right knee
2000-03-06,Spurs, Derrick Dial,,activated from IL
2000-03-07,Clippers,, Keith Closs,placed on IL with lower back spasms
2000-03-07,Grizzlies,, Milt Palacio,placed on IL with lower back spasms
2000-03-07,Grizzlies, Bryant Reeves,,activated from IL
2000-03-07,Knicks,, David Wingate,placed on IL with sore right knee
2000-03-07,Knicks, Charlie Ward,,activated from IL
2000-03-07,Nuggets,, Roy Rogers,placed on IR with right thumb injury
2000-03-07,Nuggets, Chris Herren,,activated from IL
2000-03-07,Sonics,, Chuck Person,placed on IL with torn cartilage in left knee
2000-03-07,Sonics, Vernon Maxwell,,activated from IL
2000-03-08,Blazers,, Brian Grant,placed on IR with plantar faciatis
2000-03-08,Blazers, Antonio Harvey,,activated from IL
2000-03-08,Kings,, Scot Pollard,placed on IL with sprained left ankle
2000-03-08,Kings, Bill Wennington,,activated from IL
2000-03-09,Pistons, Don Reid,,activated from IL
2000-03-10,Celtics,, Walter McCarty,placed on IL with sprained right ankle
2000-03-10,Celtics, Dana Barros,,activated from IL
2000-03-10,Heat,, Duane Causwell,placed on IL with sprained right thumb
2000-03-10,Heat, Otis Thorpe,,activated from IL
2000-03-12,Cavaliers, Brevin Knight,,activated from IL
2000-03-13,Spurs,, Terry Porter (b. 1963-04-08),placed on IL with sprained MCL in left knee
2000-03-13,Spurs, Sean Elliott,,activated from IL
2000-03-13,Suns,, Tom Gugliotta,"placed on IL with torn ACL, MCL in left knee"
2000-03-14,76ers,, Ira Bowman,placed on IL with left patella tendinitis
2000-03-14,76ers, Tyrone Hill,,activated from IL
2000-03-14,Knicks, Marcus Camby,,activated from IL
2000-03-14,Mavericks, Bruno Sundov,,activated from IL
2000-03-14,Raptors,, Dee Brown (a),placed on IL with upper respiratory infection
2000-03-14,Raptors, Michael Stewart,,activated from IL
2000-03-15,Bulls,, John Starks,placed on IL with tendinitis in both knees
2000-03-15,Bulls,, Michael Ruffin,placed on IL with right shoulder tendinitis
2000-03-15,Bulls, B.J. Armstrong,,activated from IL
2000-03-15,Bulls, Ron Artest / Metta World Peace,,activated from IL
2000-03-16,Pacers,, Chris Mullin,placed on IR with torn right calf muscle
2000-03-16,Suns,, Mark West (Andre),placed on IL with back spasms
2000-03-16,Suns, Oliver Miller,,activated from IL
2000-03-17,Clippers, Keith Closs,,activated from IL
2000-03-17,Hornets,, Dale Ellis,placed on IL with right knee tendinitis
2000-03-17,Hornets, Michael Hawkins,,activated from IL
2000-03-17,Pacers, Al Harrington,,activated from IL
2000-03-18,Sonics,, Emanual Davis,placed on IR with damaged facial nerve
2000-03-18,Sonics, Lazaro Borrell,,activated from IL
2000-03-19,Magic, Johnny Taylor,,activated from IL
2000-03-20,Cavaliers,, Ryan Stack,placed on IR with persistent weight loss & dehydration
2000-03-20,Cavaliers, Cedric Henderson (Earl),,activated from IL
2000-03-20,Suns,, Rex Chapman,placed on IL with appendectomy
2000-03-20,Suns, Todd Day,,activated from IL
2000-03-21,Bulls, John Starks,,activated from IL
2000-03-21,Grizzlies,, Brent Price,placed on IR with strained back
2000-03-21,Grizzlies, Milt Palacio,,activated from IL
2000-03-21,Kings,, Bill Wennington,placed on IL with strained right calf
2000-03-21,Kings, Scot Pollard,,activated from IL
2000-03-22,Rockets,, Hakeem Olajuwon,placed on IR with respiratory problems
2000-03-22,Warriors,, Erick Dampier,placed on IL with wrist injury (out for season)
2000-03-23,Celtics,, Pervis Ellison,placed on IR with low back strain
2000-03-23,Rockets, Matt Bullard,,activated from IL
2000-03-23,Wizards,, Rod Strickland,placed on IL with strained left quadriceps
2000-03-23,Wizards, Calvin Booth,,activated from IL
2000-03-24,76ers,, George Lynch,placed on IL with sprained MCL in right knee
2000-03-24,Blazers,, Arvydas Sabonis,placed on IL with sprained right foot
2000-03-24,Celtics, Walter McCarty,,activated from IL
2000-03-25,Grizzlies,, Grant Long,placed on IL with broken left ring finger
2000-03-25,Grizzlies, Antoine Carr,,activated from IL
2000-03-25,Suns,, Jason Kidd,placed on IL with broken left ankle
2000-03-26,Blazers, Brian Grant,,activated from IL
2000-03-26,Nuggets,, Tariq Abdul-Wahad / Olivier Saint-Jean,placed on IL with sprained left wrist
2000-03-26,Nuggets, Roy Rogers,,activated from IL
2000-03-26,Raptors,, Haywoode Workman,placed on IL with back spasms
2000-03-26,Raptors, Dee Brown (a),,activated from IL
2000-03-29,Bulls,, B.J. Armstrong,placed on IL with left knee tendinitis
2000-03-29,Bulls, Michael Ruffin,,activated from IL
2000-03-31,Kings,, Jon Barry,placed on IR with irritated nerve in neck
2000-03-31,Kings, Bill Wennington,,activated from IL
2000-03-31,Spurs,, Derrick Dial,placed on IR witih left patellar tendinitis
2000-04-01,Spurs, Terry Porter (b. 1963-04-08),,activated from IL
2000-04-03,Hornets,, Michael Hawkins,placed on IL with left knee tendinitis
2000-04-04,Hornets, Brad Miller,,activated from IL
2000-04-06,76ers,, Antonio Lang,placed on IL with left knee patella tendinitis
2000-04-06,76ers,, Nazr Mohammed,placed on IL with strained lower back
2000-04-06,Knicks,, Chris Dudley,placed on IL with sore lower back
2000-04-06,Knicks,, John Wallace,placed on IL with sprained left ankle
2000-04-06,Knicks, David Wingate,,activated from IL
2000-04-06,Pacers,, Al Harrington,placed on IL with sore back
2000-04-07,76ers, George Lynch,,activated from IL
2000-04-07,76ers, Ira Bowman,,activated from IL
2000-04-07,Nets,, Evan Eschmeyer,placed on IL with sprained left ankle
2000-04-07,Pacers, Chris Mullin,,activated from IL
2000-04-08,76ers,, Allen Iverson,placed on IR with inflamed right elbow and broken right toe
2000-04-08,Bulls,, Randy Brown,placed on IL with lower back spasms
2000-04-08,Bulls, B.J. Armstrong,,activated from IL
2000-04-10,Blazers,, Antonio Harvey,placed on IL with right knee inflammation
2000-04-10,Blazers, Arvydas Sabonis,,activated from IL
2000-04-10,Mavericks,, Bruno Sundov,placed on IL with strained lower back
2000-04-11,Kings,, Bill Wennington,placed on IL with strained right calf
2000-04-11,Kings, Jon Barry,,activated from IL
2000-04-12,Sonics,, Vladimir Stepania,placed on IR with ankle injury
2000-04-12,Sonics, Fred Vinson,,activated from IL
2000-04-14,Blazers,, Gary Grant,placed on IL with right knee injury
2000-04-14,Blazers, Nikita Morgunov,,activated from IL
2000-04-14,Knicks, John Wallace,,activated from IL
2000-04-14,Lakers,, Derek Fisher,placed on IR with bone spur in right ankle
2000-04-14,Lakers, John Celestand,,activated from IL
2000-04-16,Blazers, Joe Kleine,,activated from IL
2000-04-17,Mavericks,, Rodrick Rhodes,placed on IR with dislocated right index finger
2000-04-17,Mavericks, Gary Trent,,activated from IL
2000-04-18,76ers,, Allen Iverson,placed on IR with right shoulder inflammation & broken left toe
2000-04-18,76ers, Nazr Mohammed,,activated from IL
2000-04-18,Bulls,, Ron Artest / Metta World Peace,placed on IL with sprained right ankle
2000-04-18,Bulls, Randy Brown,,activated from IL
2000-04-18,Heat,, Harold Jamison,placed on IR with injured hamstring
2000-04-18,Heat,, Tim Hardaway Sr.,placed on IL with sprained left foot
2000-04-18,Heat, Duane Causwell,,activated from IL
2000-04-18,Heat, Tim James,,activated from IL
2000-04-18,Knicks,, Marcus Camby,placed on IL with sprained right knee
2000-04-18,Knicks, Chris Dudley,,activated from IL
2000-04-18,Pistons,, Grant Hill,placed on IL with bone bruise in left foot/ankle
2000-04-18,Pistons, Jermaine Jackson,,activated from IL
2000-04-18,Raptors,, Kevin Willis,placed on IL
2000-04-18,Raptors,, Tyrone Bogues / Muggsy Bogues,placed on IL
2000-04-18,Raptors, Aleksandar Radojevic,,activated from IL
2000-04-18,Raptors, Haywoode Workman,,activated from IL
2000-04-18,Timberwolves,, Terrell Brandon,placed on IL with flu
2000-04-19,Blazers,, Jamel Thomas,placed on IL with foot injury
2000-04-19,Blazers, Antonio Harvey,,activated from IL
2000-04-19,Blazers, Jamel Thomas,,activated from IL
2000-04-19,Blazers, Joe Kleine,,activated from IL
2000-04-19,Bucks,, Mirsad Turkcan,placed on IL with upper respiratory infection
2000-04-19,Heat, Harold Jamison,,activated from IL
2000-04-19,Kings,, Chris Webber,placed on IL with strained right calf
2000-04-19,Kings,, Nick Anderson,placed on IL with sore left knee
2000-04-19,Kings, Bill Wennington,,activated from IL
2000-04-19,Magic,, Ben Wallace,placed on IR with bone spur in right / left (P) foot
2000-04-19,Nets,, Kerry Kittles,placed on IL with sore right knee
2000-04-19,Nets, Evan Eschmeyer,,activated from IL
2000-04-19,Nets, Sherman Douglas,,activated from IL
2000-04-19,Pacers,, Sam Perkins,placed on IL with bruised right thigh
2000-04-19,Pacers, Jeff Foster,,activated from IL
2000-04-19,Rockets,, Bryce Drew,placed on IL with bone spurs in right ankle
2000-04-19,Rockets, Charles Barkley,,activated from IL
2000-04-19,Timberwolves, Andrae Patterson,,activated from IL
2000-04-20,Kings, Chris Webber,,activated from IL
2000-04-20,Kings, Nick Anderson,,activated from IL
2000-04-20,Pistons, Grant Hill,,activated from IL
2000-04-21,76ers, Allen Iverson,,activated from IL
2000-04-21,Heat, Tim Hardaway Sr.,,activated from IL
2000-04-21,Knicks, Marcus Camby,,activated from IL
2000-04-21,Lakers, Derek Fisher,,activated from IL
2000-04-21,Sonics, Chuck Person,,activated from IL
2000-04-21,Sonics, Emanual Davis,,activated from IL
2000-04-21,Spurs, Derrick Dial,,activated from IL
2000-04-21,Timberwolves, Terrell Brandon,,activated from IL
2000-10-30,76ers,, Ademola Okulaja,placed on IR with strained back
2000-10-30,76ers,, Craig Claxton / Speedy Claxton,placed on IL with torn ACL in left knee (out for season)
2000-10-30,76ers,, Matt Geiger,placed on IR with recovery from left knee surgery
2000-10-30,Blazers,, Arvydas Sabonis,placed on IR with recovery from left knee surgery
2000-10-30,Blazers,, Detlef Schrempf,placed on IR with pinched nerve in neck (player had not officially submitted retirement papers)
2000-10-30,Blazers,, Gary Grant,placed on IL with sore right knee
2000-10-30,Bucks,, Jason Hart,placed on IL with lower back spasms
2000-10-30,Bucks,, Mark Pope,placed on IL with back spasms
2000-10-30,Bulls,, Corey Benjamin,placed on IL with sore left shoulder / right shoulder tendinitis (per Bulls media guide)
2000-10-30,Bulls,, Dalibor Bagaric,placed on IL with sore right knee
2000-10-30,Bulls,, Jake Voskuhl,placed on IL with left foot tendinitis
2000-10-30,Cavaliers,, Brevin Knight,placed on IR with surgery on right patella
2000-10-30,Cavaliers,, J.R. Reid,placed on IL with patellar tendinitis in both knees
2000-10-30,Cavaliers,, Mark Bryant,placed on IL with patellar tendinitis in both knees
2000-10-30,Celtics,, Chris Herren,placed on IL with sprained left ankle
2000-10-30,Celtics,, Greg Minor,placed on IR with fractured right hip
2000-10-30,Celtics,, Walter McCarty,placed on IL with right knee tendinitis
2000-10-30,Clippers,, Earl Boykins,placed on IL with bruised right knee
2000-10-30,Clippers,, Zendon Hamilton,placed on IL with strained lower back
2000-10-30,Grizzlies,, Brent Price,placed on IL with right knee inflammation
2000-10-30,Grizzlies,, Doug West,placed on IL with strained right shoulder
2000-10-30,Grizzlies,, William Cunningham,placed on IL with right knee tendinitis
2000-10-30,Hawks,, Cal Bowdler,placed on IL with sprained MCL in right knee
2000-10-30,Hawks,, Dikembe Mutombo,placed on IR with malaria
2000-10-30,Hawks,, Dion Glover,placed on IR with a stress fracture in left foot
2000-10-30,Heat,, Alonzo Mourning,placed on IL with kidney disorder
2000-10-30,Heat,, Harold Jamison,placed on IR with bruised knee & calf
2000-10-30,Heat,, Ricky Davis,placed on IL with stress fracture in right foot
2000-10-30,Hornets,, Lee Nailon,placed on IL with right ankle tendinitis (right knee tendinitis per E)
2000-10-30,Hornets,, Terrance Roberson,placed on IL with right knee tendinitis
2000-10-30,Jazz,, John Crotty,placed on IR with recovery from right knee surgery
2000-10-30,Jazz,, Scott Padgett,placed on IL with left knee tendinitis
2000-10-30,Kings,, Jabari Smith (Sr.),placed on IL with patella tendinitis
2000-10-30,Knicks,, Jonathan Kerner,placed on IL with right knee patella tendinitis
2000-10-30,Knicks,, Luc Longley,"placed on IR with chondromalacia, right knee"
2000-10-30,Knicks,, Pete Mickeal,placed on IL with lower back pain
2000-10-30,Lakers,, Derek Fisher,placed on IL with stress fracture in right foot
2000-10-30,Lakers,, Mike Penberthy,placed on IL with strained right shoulder
2000-10-30,Lakers,, Stanislav Medvedenko,placed on IL with right knee tendinitis
2000-10-30,Magic,, Dee Brown (a),placed on IR with ruptured tendon in left (right?) knee
2000-10-30,Mavericks,, Donnell Harvey,placed on IR with bruised elbow
2000-10-30,Mavericks,, Etan Thomas,placed on IL with sprained big toe
2000-10-30,Mavericks,, Gary Trent,placed on IR with strained left abductor muscle
2000-10-30,Nets,, Jamie Feick,placed on IL with left Achilles tendon injury
2000-10-30,Nets,, Keith Van Horn,placed on IL with broken left leg
2000-10-30,Nets,, Kerry Kittles,placed on IL with right knee surgery
2000-10-30,Nuggets,, Calbert Cheaney,placed on IL with strained left hamstring
2000-10-30,Nuggets,, Mamadou N'diaye,placed on IL with strained groin
2000-10-30,Nuggets,, Ryan Bowen,placed on IL with sprained left ankle
2000-10-30,Pacers,, Bruno Sundov,placed on IL with sprained left ankle
2000-10-30,Pacers,, Lari Ketner,placed on IL with left patella tendinitis
2000-10-30,Pacers,, Terry Mills,placed on IR with degenerative arthritis in left knee
2000-10-30,Pistons,, Brian Cardinal,placed on IL with patellar tendinitis in both knees
2000-10-30,Pistons,, Dana Barros,placed on IL with strained lower back
2000-10-30,Pistons,, Torraye Braggs,placed on IL with strained right elbow
2000-10-30,Raptors,, Aleksandar Radojevic,placed on IR with recovery from back surgery
2000-10-30,Raptors,, Garth Joseph,placed on IR with strained rib cage muscles
2000-10-30,Raptors,, Michael Stewart,placed on IL recovering from surgery on knee
2000-10-30,Rockets,, Dan Langhi,placed on IL with bilateral medial tibial periositis (shin splints)
2000-10-30,Sonics,, David Wingate,placed on IL with sore left knee
2000-10-30,Sonics,, Olumide Oyedeji,placed on IL with sprained right ankle
2000-10-30,Spurs,, Derrick Dial,placed on IR with left shoulder impingement
2000-10-30,Spurs,, Ira Newble,placed on IR with plantar fasciaitis in left foot
2000-10-30,Spurs,, Shawnelle Scott,placed on IL with left patella tendinitis
2000-10-30,Suns,, Anfernee Hardaway / Penny Hardaway,placed on IL with left knee injury
2000-10-30,Suns,, Rex Chapman,placed on IR with thumb & knee injuries
2000-10-30,Suns,, Tom Gugliotta,"placed on IL recovering from surgery on left knee to repair torn ACL, MCL"
2000-10-30,Timberwolves,, Andrae Patterson,placed on IL with right knee injury
2000-10-30,Timberwolves,, Todd Day,placed on IL with hyperextended left knee
2000-10-30,Timberwolves,, Tom Hammonds,placed on IR with sore ankle (knee injury per ESPN)
2000-10-30,Warriors,, Bob Sura,placed on IL with herniated disc in back
2000-10-30,Warriors,, Chris Mullin,placed on IL with strained lower back
2000-10-30,Wizards,, Calvin Booth,placed on IL with strained right hamstring
2000-10-30,Wizards,, Laron Profit,placed on IL with back spasms
2000-10-30,Wizards,, Mike Smith (b),placed on IL with left patella tendinitis
2000-10-31,Heat,, Dan Majerle,placed on IL with strained left hamstring
2000-11-02,Magic,, Andrew DeClercq,placed on IL with strained left hamstring
2000-11-05,Celtics,, Kenny Anderson,placed on IR with facial injury / broken jaw
2000-11-05,Magic,, Grant Hill,placed on IL with sore left ankle
2000-11-06,Celtics, Greg Minor,,activated from IL
2000-11-08,Hawks, Dikembe Mutombo,,activated from IL
2000-11-08,Rockets, Dan Langhi,,activated from IL
2000-11-08,Wizards,, Ronald Jones / Popeye Jones,placed on IL with fractured left index finger
2000-11-08,Wizards, Calvin Booth,,activated from IL
2000-11-09,Rockets,, Kelvin Cato,placed on IL with sprained left ankle
2000-11-10,Bucks,, Darvin Ham,placed on IR recovering from surgery on left foot
2000-11-10,Bucks, Mark Pope,,activated from IL
2000-11-10,Celtics,, Jerome Moiso,placed on IL with strained right ankle
2000-11-10,Celtics,, Randy Brown,placed on IL with groin injury
2000-11-10,Celtics, Chris Herren,,activated from IL
2000-11-10,Raptors,, Tyrone Bogues / Muggsy Bogues,placed on IL recovering from surgery on right knee
2000-11-10,Raptors, Garth Joseph,,activated from IL
2000-11-10,Warriors, Chris Mullin,,activated from IL
2000-11-11,Bulls,, Brad Miller,placed on IL with broken right hand
2000-11-11,Bulls,, Bryce Drew,placed on IL with strained left hamstring
2000-11-11,Bulls, Corey Benjamin,,activated from IL
2000-11-11,Bulls, Jake Voskuhl,,activated from IL
2000-11-11,Celtics,, Adrian Griffin,placed on IL with lower back spasms
2000-11-11,Celtics, Walter McCarty,,activated from IL
2000-11-11,Lakers,, Tyronn Lue,placed on IL with sprained right ankle
2000-11-11,Warriors,, Vonteego Cummings,placed on IR with fractured right cheekbone
2000-11-12,Lakers, Mike Penberthy,,activated from IL
2000-11-12,Magic, Andrew DeClercq,,activated from IL
2000-11-14,Blazers,, Antonio Harvey,placed on IL with sore right knee
2000-11-14,Blazers, Arvydas Sabonis,,activated from IL
2000-11-14,Cavaliers,, Wesley Person,placed on IL with bruised right elbow
2000-11-14,Cavaliers, J.R. Reid,,activated from IL
2000-11-14,Hawks,, Roshown McLeod,placed on IR with adjustment disorder due to death of mother
2000-11-14,Hawks, Cal Bowdler,,activated from IL
2000-11-15,Cavaliers, Mark Bryant,,activated from IL
2000-11-15,Warriors,, Danny Fortson,placed on IR with sore right foot
